label,text
1,"""距離川沙公路較近,但是公交指示不對,如果是""""蔡陸線""""的話,會非常麻煩.建議用別的路線.房間較為簡單."" 
"""
1,"商務大床房，房間很大，床有2M寬，整體感覺經濟實惠不錯! 
"
1,"早餐太差，無論去多少人，那邊也不加食品的。酒店應該重視一下這個問題了。房間本身很好。
"
1,"賓館在小街道上，不大好找，但還好北京熱心同胞很多~賓館設施跟介紹的差不多，房間很小，確實挺小，但加上低價位因素，還是無超所值的；環境不錯，就在小胡同內，安靜整潔，暖氣好足-_-||。。。呵還有一大優勢就是從賓館出發，步行不到十分鐘就可以到梅蘭芳故居等等，京味小胡同，北海距離好近呢。總之，不錯。推薦給節約消費的自助遊朋友~比較划算，附近特色小吃很多~ 
"
1,"""CBD中心,周圍沒什麼店鋪,說5星有點勉強.不知道為什麼衛生間沒有電吹風"" 
"""
1,"總的來說，這樣的酒店配這樣的價格還算可以，希望他趕快裝修，給我的客人留些好的印象
"
1,"價格比比較不錯的酒店。這次免費升級了，感謝前台服務員。房子還好，地毯是新的，比上次的好些。早餐的人很多要早去些。
"
1,"不錯，在同等檔次酒店中應該是值得推薦的！
"
1,"入住麗晶，感覺很好。因為是新酒店，的確有淡淡的油漆味，房間內較新。房間大小合適，衛生間設備齊全，服務態度也很好。網速可能是提升了吧，感覺還好。有免費的插線板、水果刀。。。等一系列的日常用品免費提供，很細心。晚上的自助餐是每人68元，菜品一般、就算說的過去吧。酒店外有西貝筱面等幾家飯館。西貝的菜實在是量大的驚人，人多在酒店吃就不如去西貝吃了。酒店21：30-24點有廣式晚茶，吃過幾次，味道正宗，就是點心品種略少。哈。酒店地處青山區，包頭分昆區、青山區。相對來說：昆區是最繁華的，青山區次之。像包百等大商場全在昆區，從酒店打車到包百商圈車費12元多。青山區也有一個王府井百貨，相對來說比包百商圈的略小，從酒店打車8元多。銀河廣場離酒店有一段距離，打車9、10元吧，銀河廣場邊上有“科麗瓏”24小時營業的超市。酒店一樓有小賣部，周圍基本沒有超市。這次住正趕上有幾家公司在這裡開會，有時樓道里略吵，晚上還有幾次有人敲錯門，理論上與酒店管理沒關係吧。希望以後還是盡量讓會議團體住在一層，也許這樣可以好些吧。總體感覺麗晶很好，以後來包頭還會住這裡。
"
1,"1。酒店比較新，裝潢和設施還不錯，只是房間有些油漆味。2。早餐還可以，只是品種不是很多。3。交通比較方便，周圍的小飯店比較多。
"
1,"我住的是特色標間，所謂特色，是有些類似家的感覺。寢具不是單調的白色，是條紋和大格子的，感覺很溫馨。圈兒椅的靠墊是卡通的加菲貓頭，明黃的顏色有點扎眼，和周圍配在一起感覺有點不協調。客房硬件評價3.5分。加濕器、燙衣板、電熨斗、吹風機、小冰箱等俱全。缺點：液晶電視固定在牆上，位置不好。一是遮擋了一個電源插座；二是與桌子搭配不當。桌子（與冰箱櫃一體）在電視下方，如果坐在桌子旁上網或工作學習，正好擋住了電視屏幕。錯開坐，正好是冰箱櫃，腿腳伸不開。
"
1,"早餐很豐富，服務也熱情，早上很早退房時，前台值此人員辦理手續也非常快．
"
1,"這次是308的行政大床，總體感覺非常不錯，就是價格稍許高了點，旁邊有個五星的豪華客房才398。估計小天鵝也只有這個房型以上的，看得過去，以前住過的房間實在是很差。以後大家如果要住這裡，還是選這個行政大床吧！
"
1,"好像跟洪崖洞酒店一個公司的，所以房間的風格比較接近，就是小一些，整體來說比較不錯，房間內食品都是免費，很實在。就是早餐實在不敢恭維，大堂環境比較差。整體來說不錯，屬於比較好的三星級酒店。
"
1,"前台樓層服務員都不錯，房間安靜整潔，交通方便，吃的周圍也挺多．唯一不足，衛生間地漏設計不好，導致少量積水．
"
1,"這個賓館總體感覺還不錯，無論從價格、出行、購物，還是訂機票（國航就在它的右邊）都很方便。只是房間沒有什麼電腦，也不知道它說的免費上網在什麼地方可以。補充點評2007年10月12日：對了，去機場也很方便，機場大巴就在它下面，每半個小時一趟
"
1,"""價格偏高,服務一般.窗外風景ok.早餐還不錯"" 
"""
1,"酒店正在申定五星中，不過目前看來四星都有點勉強。大堂很氣派，不過細節很粗糙。硬件需要加強。服務人員禮貌熱情。酒店的房間和早餐都還不錯。
"
1,"鬧中取靜的一個地方，在窗前能看到不錯的風景。酒店價格的確有些偏高
"
